# Downloaded at 2025-09-17 15:01:00 [UTC]
# Station name = Belfast Maine Harbor
# Device type = Level
# Device serial = PTM5461
# Latitude [deg] = 44.428903
# Longitude [deg] = -69.004461
# Current probe level = 6.28 m w.r.t. local datum
# 
# timestamp [sec UTC],timestring [America/New_York],Water level [ft]# 
1704574800,2024-01-06 16:00:00,6.271
1704575700,2024-01-06 16:15:00,6.875
1704576600,2024-01-06 16:30:00,7.421
1704577500,2024-01-06 16:45:00,8.017
1704578400,2024-01-06 17:00:00,8.451
1704579300,2024-01-06 17:15:00,8.701
1704580200,2024-01-06 17:30:00,8.816
1704581100,2024-01-06 17:45:00,8.986
1704582000,2024-01-06 18:00:00,8.990
1704582900,2024-01-06 18:15:00,9.218
1704583800,2024-01-06 18:30:00,9.399
1704584700,2024-01-06 18:45:00,9.006
1704585600,2024-01-06 19:00:00,9.081
1704586500,2024-01-06 19:15:00,9.235
1704587400,2024-01-06 19:30:00,9.326
1704588300,2024-01-06 19:45:00,9.105
1704589200,2024-01-06 20:00:00,9.044
1704590100,2024-01-06 20:15:00,8.681
1704591000,2024-01-06 20:30:00,8.077
1704591900,2024-01-06 20:45:00,7.746
1704592800,2024-01-06 21:00:00,7.313
1704593700,2024-01-06 21:15:00,6.733
1704594600,2024-01-06 21:30:00,6.157
1704595500,2024-01-06 21:45:00,5.610
1704596400,2024-01-06 22:00:00,5.053
1704597300,2024-01-06 22:15:00,4.527
1704598200,2024-01-06 22:30:00,4.094
1704599100,2024-01-06 22:45:00,3.614
1704600000,2024-01-06 23:00:00,3.428
1704600900,2024-01-06 23:15:00,3.009
1704601800,2024-01-06 23:30:00,2.852
1704602700,2024-01-06 23:45:00,2.780
1704603600,2024-01-07 00:00:00,2.774
1704604500,2024-01-07 00:15:00,2.444
1704605400,2024-01-07 00:30:00,2.636
1704606300,2024-01-07 00:45:00,2.633
1704607200,2024-01-07 01:00:00,2.518
1704608100,2024-01-07 01:15:00,2.609
1704609000,2024-01-07 01:30:00,2.666
1704609900,2024-01-07 01:45:00,2.848
1704610800,2024-01-07 02:00:00,3.039
1704611700,2024-01-07 02:15:00,3.563
1704612600,2024-01-07 02:30:00,4.210
1704613500,2024-01-07 02:45:00,4.603
1704614400,2024-01-07 03:00:00,5.204
1704615300,2024-01-07 03:15:00,5.924
1704616200,2024-01-07 03:30:00,6.344
1704617100,2024-01-07 03:45:00,6.963
1704618000,2024-01-07 04:00:00,7.621
1704618900,2024-01-07 04:15:00,8.489
